link,tipo_vivienda,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,dirección
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenasan-miguel/1157489,Casa,4.0,4.0,No,5600,400,"Colina, Santa Elena/San Miguel"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/3670069,Casa,3.0,3.0,,5000,140,"Colina, Colina"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-polo-mahuida-country-club/3676082,Casa,5.0,4.0,No,5230,530,"Colina, Condominio Polo Mahuida Country Club"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/av-jose-maria-caro-1372/2553777,Casa,4.0,2.0,3,185,120,"Conchalí, Av. Jose Maria Caro 1372"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/cardenal-caro-metro-station/3695668,Casa,4.0,2.0,2,181,114,"Conchalí, Cardenal Caro metro station"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/niteroi/3590496,Casa,5.0,2.0,3,189,171,"Conchalí, Niterói"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3655318,Casa,6.0,2.0,3,200,140,
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/porto-alegre-1415/3713357,Casa,3.0,1.0,2,212,76,"Conchalí, Porto Alegre 1415"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/tokio/3311424,Casa,3.0,2.0,No,160,103,"Conchalí, Tokio"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3103147,Casa,3.0,2.0,2,164,122,
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/eibar-1542/3166902,Casa,3.0,3.0,3,200,160,"Conchalí, Eibar 1542"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-en-carlos-salas-herrera/3734164,Casa,3.0,1.0,No,340,160,"Conchalí, Casa en Carlos Salas Herrera"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/calle-gpasaje-iloca/1879499,Casa,4.0,2.0,No,0,123,"Conchalí, Calle g/pasaje iloca"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/campanariopucon/3460814,Casa,2.0,1.0,No,200,96,"Conchalí, Campanario/Pucón"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/maipo/3416499,Casa,3.0,1.0,7,210,66,"Conchalí, Maipo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/alemania/3604008,Casa,3.0,1.0,,115,77,"Conchalí, Alemania"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/av-independenciaquilicurametro-vivaceta/3446818,Casa,3.0,2.0,No,175,120,"Conchalí, Av. Independencia/quilicura/metro vivaceta"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-esquina-en-avenida-180-m2-4-dormitorios-2-banos/2672835,Casa,4.0,2.0,No,180,"134,95","Conchalí, Casa esquina en Avenida / 180 m2 / 4 dormitorios / 2 baños"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/avenida-cardenal-jose-maria-caro/3150444,Casa,4.0,2.0,4,180,135,"Conchalí, Avenida Cardenal José María Caro"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/pasaje-maipo-1484/1977481,Casa,3.0,2.0,,"266,5","131,6","Conchalí, Pasaje Maipo 1484"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3638380,Casa,3.0,2.0,2,180,189,
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3683272,Casa,5.0,2.0,3,180,171,
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3700342,Casa,2.0,,,170,60,"Conchalí, Conchalí, Región Metropolitana"
https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-de-2-pisos-en-vivaceta/3734128,Casa,2.0,1.0,No,250,225,"Conchalí, Casa de 2 pisos en Vivaceta"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleutrio-ramirezalejandro-guzman/2815668,Casa,2.0,1.0,No,500,0,"El Bosque, Eleutrio Ramirez/Alejandro Guzman"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/las-casitaslos-patos/2924764,Casa,5.0,3.0,No,200,170,"El Bosque, las casitas/los patos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenidaamerica/2526485,Casa,6.0,2.0,No,300,200,"El Bosque, Gran Avenida/America"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-conjunto-heroes-del-morro/3383592,Casa,3.0,1.0,No,113,91,"El Bosque, Casa de 1 Piso en Conjunto Héroes del Morro"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-220-m2-amplios-espacios/3716131,Casa,3.0,,,,,"El Bosque, Casa 220 m2, amplios espacios"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleuterio-ramirez/3390509,Casa,3.0,2.0,4,410,160,"El Bosque, Eleuterio Ramírez"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-en-lo-espejo/3734220,Casa,5.0,2.0,No,700,200,"El Bosque, Casa en Lo Espejo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-villa-santa-maria/3693766,Casa,3.0,2.0,No,168,84,"El Bosque, Casa de 1 Piso en Villa Santa María"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/pasaje-los-tilos-11966/3644130,Casa,3.0,,,148,77,"El Bosque, Pasaje Los Tilos 11966"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/humberto-allende/3127499,Casa,3.0,1.0,2,228,60,"El Bosque, Humberto Allende"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenida-el-observatorio/2591696,Casa,3.0,1.0,No,449,80,"El Bosque, Gran Avenida, El Observatorio"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gralkornerjmcarreravictor-plaza-mayorga/3598655,Casa,3.0,1.0,No,400,95,"El Bosque, Gral.Korner/j.M.Carrera/victor plaza mayorga"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/los-boldos-12360/3589322,Casa,4.0,1.0,2,220,85,"El Bosque, Los Boldos 12360,"
